,staffed_beds,licensed_beds,icu_beds,FIPS
2468,49,124,7,54047
2465,89,207,14,54049
2466,59,127,9,54051
2467,94,201,5,54053
2469,206,419,17,54055
2470,25,25,4,54057
2471,27,76,6,54059
2472,1005,985,91,54061
2473,25,41,0,54065
2474,49,105,6,54067
2475,317,432,22,54069
2476,25,25,0,54075
2477,25,25,0,54077
2478,70,70,0,54079
2479,413,473,27,54081
2480,90,90,0,54083
2481,25,60,0,54087
2482,25,25,0,54089
2483,25,101,0,54091
2484,25,12,0,54095
2485,25,51,4,54097
2486,80,0,0,54099
2487,25,15,0,54101
2488,48,58,5,54103
2489,270,313,18,54107
2384,25,25,0,55001
2385,25,35,0,55003
2386,90,90,5,55005
2387,828,1278,56,55009
2388,25,25,0,55013
2389,25,25,0,55015
2390,151,242,6,55017
2391,25,25,0,55019
2392,68,98,10,55021
2393,24,25,0,55023
2394,1901,2075,32,55025
2395,245,245,10,55027
2396,25,25,4,55029
2397,25,25,0,55031
2398,25,25,0,55033
2399,418,661,40,55035
2400,158,189,15,55039
2401,75,75,0,55043
2402,58,95,6,55045
2403,25,25,5,55047
2404,25,25,0,55049
2405,25,25,0,55053
2406,49,82,4,55055
2407,40,40,0,55057
2408,492,517,27,55059
2409,395,656,52,55063
2410,25,25,0,55065
2411,25,25,4,55067
2412,40,43,0,55069
2413,127,236,16,55071
2414,338,440,52,55073
2415,55,99,10,55075
2416,4025,4651,455,55079
2417,50,50,0,55081
2418,32,35,0,55083
2419,102,172,30,55085
2420,441,492,64,55087
2421,246,309,46,55089
2422,25,25,0,55091
2423,25,25,0,55093
2424,70,73,3,55095
2425,84,94,12,55097
2426,24,25,4,55099
2427,657,715,33,55101
2428,25,25,4,55103
2429,381,564,33,55105
2430,25,25,4,55107
2431,75,75,0,55109
2432,104,161,10,55111
2433,25,25,0,55113
2434,25,25,0,55115
2435,189,370,13,55117
2436,25,25,0,55119
2437,43,43,0,55121
2438,50,50,0,55123
2439,14,25,0,55125
2440,79,134,16,55127
2441,45,50,0,55129
2442,105,141,12,55131
2443,710,1243,64,55133
2444,50,50,4,55135
2445,25,25,0,55137
2446,687,795,60,55139
2447,315,619,4,55141
2490,66,99,4,56001
2491,22,25,0,56003
2492,66,90,14,56005
2493,25,25,6,56007
2494,25,25,0,56009
2495,16,16,0,56011
2496,133,159,12,56013
2497,25,25,0,56015
2498,25,25,0,56017
2499,22,25,0,56019
2500,252,206,15,56021
2501,35,38,0,56023
2502,372,269,14,56025
2503,24,24,0,56027
2504,50,50,4,56029
2505,25,25,0,56031
2506,71,88,11,56033
2507,74,115,10,56037
2508,48,48,6,56039
2509,105,42,6,56041
2510,18,18,0,56043
2511,12,12,0,56045
422,304,0,31,66010
1876,124,0,8,72005
1877,210,0,6,72009
1878,292,0,14,72013
1879,837,0,66,72021
1880,43,0,0,72023
1881,665,0,64,72025
1882,342,0,14,72031
1883,225,0,35,72035
1884,216,0,0,72041
1885,0,0,0,72045
1886,222,0,21,72053
1887,116,0,6,72057
1888,49,0,0,72061
1889,296,0,39,72069
1890,0,0,0,72081
1891,553,0,28,72091
1892,468,0,44,72097
1893,106,0,7,72099
1894,848,0,111,72113
1895,232,0,18,72125
1896,2555,0,245,72127
1897,7,0,0,72141
1898,130,0,6,72145
1899,84,0,11,72153
2334,77,0,11,78010
2335,107,0,8,78030
